ID,Accession,Target,TargetID,Experiment,Literature,Tissue
hsa-mir-25-3p,MIMAT0000081,CALR,811,Chimeric fragments,tarbase,Peripheral blood
hsa-mir-18a-5p,MIMAT0000072,P4HB,5034,"PAR-CLIP, HITS-CLIP",tarbase,Peripheral blood
hsa-mir-212-5p,MIMAT0022695,P4HB,5034,HITS-CLIP,tarbase,Peripheral blood
hsa-mir-328-3p,MIMAT0000752,P4HB,5034,HITS-CLIP,tarbase,Peripheral blood
hsa-mir-146a-5p,MIMAT0000449,P4HB,5034,Microarrays,tarbase,Peripheral blood
hsa-mir-155-5p,MIMAT0000646,P4HB,5034,Microarrays,tarbase,Peripheral blood
hsa-mir-20a-5p,MIMAT0000075,P4HB,5034,Microarrays,tarbase,Peripheral blood
hsa-mir-146a-5p,MIMAT0000449,CXCR3,2833,Microarrays,tarbase,Peripheral blood
hsa-mir-18a-5p,MIMAT0000072,TUBB,203068,PAR-CLIP,tarbase,Peripheral blood
hsa-mir-18a-5p,MIMAT0000072,TUBB,203068,PAR-CLIP,tarbase,Peripheral blood
hsa-mir-18a-5p,MIMAT0000072,TUBB,203068,PAR-CLIP,tarbase,Peripheral blood
hsa-mir-18a-5p,MIMAT0000072,TUBB,203068,PAR-CLIP,tarbase,Peripheral blood
hsa-mir-18a-5p,MIMAT0000072,TUBB,203068,PAR-CLIP,tarbase,Peripheral blood
hsa-mir-18a-5p,MIMAT0000072,TUBB,203068,PAR-CLIP,tarbase,Peripheral blood
hsa-mir-18a-5p,MIMAT0000072,TUBB,203068,PAR-CLIP,tarbase,Peripheral blood
hsa-mir-18a-5p,MIMAT0000072,TUBB,203068,PAR-CLIP,tarbase,Peripheral blood
hsa-mir-21-5p,MIMAT0000076,TUBB,203068,PAR-CLIP,tarbase,Peripheral blood
hsa-mir-21-5p,MIMAT0000076,TUBB,203068,PAR-CLIP,tarbase,Peripheral blood
hsa-mir-21-5p,MIMAT0000076,TUBB,203068,PAR-CLIP,tarbase,Peripheral blood
hsa-mir-21-5p,MIMAT0000076,TUBB,203068,PAR-CLIP,tarbase,Peripheral blood
hsa-mir-21-5p,MIMAT0000076,TUBB,203068,PAR-CLIP,tarbase,Peripheral blood
hsa-mir-21-5p,MIMAT0000076,TUBB,203068,PAR-CLIP,tarbase,Peripheral blood
hsa-mir-21-5p,MIMAT0000076,TUBB,203068,PAR-CLIP,tarbase,Peripheral blood
hsa-mir-21-5p,MIMAT0000076,TUBB,203068,PAR-CLIP,tarbase,Peripheral blood
hsa-mir-328-3p,MIMAT0000752,TUBB,203068,HITS-CLIP,tarbase,Peripheral blood
hsa-mir-328-3p,MIMAT0000752,TUBB,203068,HITS-CLIP,tarbase,Peripheral blood
hsa-mir-328-3p,MIMAT0000752,TUBB,203068,HITS-CLIP,tarbase,Peripheral blood
hsa-mir-328-3p,MIMAT0000752,TUBB,203068,HITS-CLIP,tarbase,Peripheral blood
